time, acel_x,acel_y,acel_z,gyro_x, gyro_y, gyro_z,mag_x, mag_y, mag_z,Pressure
aurrera
129306, 0.16, -0.22, 1.00, 4.33, -2.20, -1.77, 21.42, 7.37, -48.91, 101.45
129431, 0.21, -0.13, 0.91, 2.14, -2.14, -0.61, 21.28, 8.03, -48.45, 101.43
129557, 0.17, -0.14, 0.96, 1.04, -1.34, 0.12, 21.58, 7.95, -48.02, 101.45
eskuinera
139467, 0.22, -0.16, 0.95, 2.01, -1.22, 0.00, 21.72, 7.92, -47.62, 101.45
139593, 0.23, -0.14, 0.97, 1.65, -2.81, 0.12, 21.57, 7.81, -47.95, 101.44
139720, 0.23, -0.14, 0.95, 1.53, -1.83, 0.12, 21.45, 8.72, -48.03, 101.44
139847, 0.22, -0.13, 0.96, 0.98, -1.59, 0.12, 21.63, 7.81, -48.29, 101.44
139974, 0.22, -0.16, 0.94, 2.56, -1.28, -0.73, 21.98, 8.30, -47.85, 101.44
140100, 0.39, 0.04, 0.78, -9.46, 11.66, -12.82, 21.96, 8.17, -47.49, 101.44
140226, 0.41, 0.11, 1.07, -7.75, 0.49, -54.26, 21.75, 6.31, -48.33, 101.44
140353, 0.30, 0.18, 0.80, -30.76, 19.23, -78.55, 20.80, 2.98, -46.73, 101.43
140479, 0.26, -0.03, 0.97, -22.16, 10.50, -90.76, 22.49, -2.98, -45.39, 101.44
140605, 0.20, -0.05, 0.83, -25.02, 8.30, -80.02, 23.65, -6.35, -45.53, 101.43
140731, 0.04, 0.10, 0.82, -18.13, 4.70, -75.20, 26.68, -10.00, -43.87, 101.44
140858, 0.08, 0.02, 0.79, -5.98, -0.98, -61.28, 29.64, -10.94, -42.11, 101.44
140985, 0.25, -0.19, 1.21, -8.97, 3.72, -34.79, 33.15, -12.10, -40.14, 101.44
141112, 0.22, 0.10, 0.85, 1.34, -1.83, -28.99, 34.75, -11.08, -41.04, 101.44
141239, 0.28, -0.21, 1.03, -0.55, 2.14, -23.56, 35.63, -10.23, -38.13, 101.44
141365, 0.38, -0.05, 0.84, -7.75, 4.52, -17.03, 37.89, -8.45, -37.00, 101.44
141492, 0.35, -0.09, 1.03, -2.01, 0.24, -21.61, 39.95, -5.24, -35.01, 101.44
141619, 0.25, -0.05, 0.87, -6.96, 2.93, -15.32, 41.28, -2.58, -33.80, 101.44
141745, 0.33, -0.24, 0.96, -7.08, -0.98, -12.70, 40.17, 5.26, -30.49, 101.44
141872, 0.22, -0.32, 0.99, -2.08, -2.20, -8.12, 36.34, 10.30, -30.48, 101.44
141999, 0.24, -0.21, 0.73, -0.55, 1.16, 1.22, 30.03, 14.61, -30.49, 101.44
142126, 0.33, 0.24, 0.85, -13.85, 0.67, 7.87, 20.83, 12.96, -33.63, 101.45
142252, 0.20, -0.38, 1.24, 6.84, -6.23, -1.71, 16.97, 8.48, -36.46, 101.44
142379, 0.13, 0.00, 0.69, -11.54, 0.49, 6.59, 15.81, 0.27, -41.99, 101.44
142505, 0.26, -0.06, 1.09, 9.83, -11.35, -2.14, 17.04, -4.24, -45.30, 101.44
142632, 0.19, -0.18, 0.89, -2.20, 3.36, 2.69, 20.00, -9.31, -47.55, 101.44
142759, 0.29, -0.25, 0.94, -2.87, -4.21, 0.61, 21.24, -10.73, -49.13, 101.43
142886, 0.31, -0.01, 0.88, -0.31, -1.04, 3.60, 23.90, -13.23, -50.06, 101.44
143012, 0.32, -0.10, 1.29, 7.81, -11.54, -4.58, 24.46, -14.23, -51.28, 101.43
143139, 0.27, 0.04, 0.80, -11.29, 0.85, 2.26, 26.22, -15.80, -51.34, 101.44
143266, 0.38, -0.10, 0.86, -9.03, 5.86, 1.59, 28.25, -16.83, -53.10, 101.44
143394, 0.44, -0.24, 0.85, -1.40, 5.00, -7.75, 29.86, -16.94, -53.34, 101.44
143522, 0.30, 0.24, 0.60, -25.02, 5.19, -0.85, 31.18, -17.18, -53.33, 101.44
143648, 0.29, -0.12, 1.05, 2.87, -6.53, -5.43, 32.73, -18.26, -54.93, 101.44
143775, 0.29, -0.25, 0.89, 5.92, -0.85, -7.93, 33.53, -18.46, -53.38, 101.44
143901, 0.45, -0.33, 1.03, 1.89, -0.06, -12.21, 35.14, -19.30, -52.56, 101.44
144028, 0.28, -0.40, 1.20, 13.85, -5.43, -18.86, 36.00, -18.62, -53.70, 101.44
144156, 0.25, 0.04, 0.88, -10.31, -2.56, 2.56, 36.49, -18.86, -53.09, 101.44
144282, 0.49, -0.16, 0.99, 13.67, -1.40, 12.51, 35.90, -18.76, -52.98, 101.44
